0.061382,0.235834,0.264890,0.282802,0.281159,0.287782,0.292527,0.280618,0.284966,0.312594,0.296635,0.390765,0.390461,0.290542,0.222021,0.226468,0.160423,0.185444,0.132342,0.101069,0.082650,0.086100,0.061176,0.075924,0.053271,0.048707,0.042927,0.064564,0.070276,0.042173,0.069042,0.076873,0.077352,0.085440,0.077584,0.077346,0.108050,0.125262,0.115215,0.122076,0.121278,0.129136,0.137569,0.137489,0.134701,0.136272,0.141594,0.143322,0.141710,0.144407,0.145491,0.142749,0.144605,0.152191,0.151708,0.161583,0.168393,0.145868,0.110702,0.124007,0.112783,0.064323
0.094935,0.329810,0.366383,0.393731,0.442557,0.437208,0.472836,0.451815,0.402380,0.444493,0.422818,0.547294,0.575871,0.471218,0.384293,0.364078,0.257522,0.293670,0.199180,0.169704,0.176968,0.176709,0.123210,0.132802,0.098197,0.079051,0.069918,0.096427,0.108235,0.077945,0.108736,0.116953,0.119700,0.137702,0.136057,0.128333,0.156885,0.176246,0.160775,0.163996,0.158711,0.167878,0.178473,0.178698,0.176349,0.177711,0.182807,0.183857,0.183116,0.184508,0.185503,0.182719,0.185551,0.193829,0.193845,0.207614,0.215910,0.182371,0.134584,0.152209,0.143597,0.079125
0.151642,0.507810,0.600815,0.640361,0.663744,0.640757,0.682776,0.702347,0.693758,0.655535,0.611697,0.785122,0.791138,0.588681,0.457595,0.497238,0.334606,0.373259,0.239505,0.184004,0.169807,0.178731,0.119400,0.136937,0.098026,0.088562,0.080477,0.098015,0.116830,0.076824,0.111967,0.120541,0.121966,0.143770,0.132014,0.127396,0.162737,0.176722,0.162865,0.169207,0.158682,0.167150,0.176581,0.176352,0.173527,0.174906,0.180423,0.179492,0.177903,0.178685,0.178490,0.175076,0.179030,0.185633,0.186868,0.202394,0.215249,0.176872,0.134880,0.146856,0.141197,0.083609
0.135995,0.442510,0.513025,0.546234,0.574619,0.553410,0.593316,0.605918,0.591189,0.589865,0.589607,0.753218,0.776467,0.632347,0.513917,0.502109,0.368164,0.384009,0.270932,0.228048,0.212951,0.222347,0.142099,0.166467,0.121973,0.101883,0.088162,0.117435,0.133136,0.092709,0.135120,0.146447,0.149019,0.170911,0.164422,0.159016,0.193779,0.217233,0.198510,0.204252,0.197055,0.207369,0.219691,0.219961,0.215432,0.217333,0.224549,0.223360,0.222028,0.223852,0.223221,0.218467,0.221078,0.228644,0.228765,0.243903,0.251429,0.209951,0.154819,0.172598,0.165773,0.095315
0.109067,0.323644,0.371828,0.396909,0.441330,0.439638,0.466612,0.457117,0.443306,0.473984,0.491361,0.633407,0.676149,0.615410,0.491839,0.445255,0.367846,0.358656,0.291320,0.288666,0.271679,0.277614,0.178122,0.222910,0.166444,0.129822,0.105609,0.153420,0.167166,0.120606,0.172105,0.188871,0.184045,0.201966,0.207164,0.205868,0.233324,0.268938,0.251615,0.254849,0.244851,0.256374,0.271124,0.270750,0.264733,0.266355,0.273095,0.271454,0.270526,0.271573,0.269992,0.264030,0.266332,0.274978,0.273673,0.288073,0.289303,0.242684,0.176544,0.201614,0.193356,0.108207
0.104340,0.315702,0.361028,0.384452,0.424383,0.424769,0.449009,0.440297,0.424244,0.459084,0.476189,0.607831,0.653562,0.609796,0.479900,0.436709,0.373984,0.356791,0.297751,0.308543,0.299121,0.307199,0.202278,0.243681,0.186809,0.138719,0.111678,0.161353,0.175080,0.126275,0.179454,0.196629,0.190321,0.206623,0.214046,0.214033,0.237000,0.270528,0.252608,0.253590,0.242908,0.254008,0.267475,0.266602,0.260226,0.261230,0.268200,0.265542,0.264268,0.264653,0.262806,0.257063,0.261219,0.268911,0.267673,0.280730,0.279907,0.235446,0.170644,0.195255,0.187292,0.103049
0.089587,0.271782,0.307983,0.327384,0.371343,0.366647,0.388388,0.378310,0.360912,0.397552,0.418708,0.535232,0.587832,0.574164,0.464263,0.412048,0.372960,0.349696,0.306165,0.336040,0.352906,0.357927,0.242334,0.276899,0.211145,0.158514,0.125209,0.185414,0.198388,0.148047,0.204635,0.224005,0.216815,0.232587,0.242958,0.240177,0.259924,0.293566,0.274891,0.272621,0.260451,0.272189,0.284973,0.283832,0.277658,0.278006,0.284810,0.280772,0.280315,0.280725,0.278626,0.273098,0.279157,0.286096,0.284559,0.298615,0.294246,0.245644,0.177827,0.204918,0.196371,0.107319
0.077865,0.227324,0.256911,0.273223,0.315890,0.311041,0.328396,0.313519,0.301472,0.337088,0.358549,0.463307,0.513562,0.516149,0.419518,0.369001,0.351403,0.324900,0.297943,0.337184,0.373178,0.380864,0.277018,0.304093,0.236287,0.172202,0.141770,0.207649,0.221681,0.172291,0.228229,0.247971,0.241296,0.255118,0.264403,0.262931,0.282068,0.315251,0.292778,0.284842,0.272401,0.285198,0.296310,0.294236,0.288879,0.288951,0.297158,0.291404,0.291124,0.292094,0.289991,0.284605,0.291569,0.298043,0.296684,0.308599,0.301520,0.252648,0.183942,0.210487,0.201750,0.108664
0.074497,0.227018,0.256891,0.272506,0.309232,0.300034,0.317280,0.306907,0.292969,0.324344,0.341494,0.448595,0.494281,0.486829,0.402471,0.358577,0.338581,0.318120,0.296938,0.332193,0.389471,0.399042,0.292760,0.321620,0.253922,0.189949,0.156763,0.229406,0.245427,0.196184,0.253707,0.277416,0.275942,0.287950,0.290907,0.289675,0.311921,0.343745,0.315389,0.305405,0.292040,0.306447,0.315922,0.313532,0.306789,0.307230,0.315934,0.308129,0.307584,0.309359,0.306716,0.300464,0.309257,0.314896,0.313312,0.324598,0.316452,0.264387,0.192315,0.219526,0.211597,0.114038
0.072447,0.214730,0.243261,0.258528,0.292834,0.293471,0.303270,0.284559,0.275660,0.311548,0.324128,0.431297,0.470518,0.458417,0.376764,0.333602,0.317559,0.296310,0.276157,0.312656,0.365741,0.373807,0.289024,0.315630,0.250532,0.193472,0.163392,0.232020,0.252127,0.211363,0.265983,0.287672,0.287148,0.296596,0.295269,0.293987,0.318230,0.348317,0.319980,0.310045,0.295038,0.310320,0.319405,0.317335,0.311224,0.312623,0.322623,0.314352,0.313525,0.315267,0.312889,0.306663,0.317042,0.322673,0.321581,0.332062,0.325923,0.274498,0.201756,0.229079,0.222905,0.122997
