0.147018,0.374049,0.432725,0.339607,0.394660,0.419669,0.387312,0.402249,0.317886,0.318780,0.329624,0.340148,0.337362,0.332631,0.320250,0.284033,0.257286,0.264861,0.268159,0.272779,0.270492,0.274664,0.272559,0.271009,0.269542,0.266795,0.265984,0.261210,0.254714,0.253688,0.234160,0.235880,0.236580,0.237888,0.247785,0.257207
0.097018,0.326230,0.383580,0.273432,0.328101,0.359546,0.313045,0.332883,0.238728,0.249165,0.257172,0.271728,0.263778,0.259362,0.254787,0.214798,0.184918,0.187390,0.189201,0.191103,0.184931,0.185400,0.182156,0.182998,0.181102,0.180551,0.179977,0.176011,0.168225,0.169161,0.154015,0.153630,0.154055,0.154689,0.161252,0.167419
0.087961,0.288063,0.332807,0.234312,0.276753,0.297626,0.261620,0.274702,0.197161,0.205487,0.214499,0.225914,0.221577,0.215565,0.210391,0.180750,0.159776,0.164075,0.167983,0.170653,0.164698,0.166163,0.163579,0.164438,0.163147,0.162760,0.163051,0.159874,0.153406,0.153709,0.140945,0.141743,0.142699,0.144083,0.152125,0.159965
0.075460,0.243418,0.276221,0.204890,0.238275,0.254429,0.225961,0.236452,0.174312,0.179932,0.187105,0.195060,0.190029,0.183362,0.178245,0.152110,0.133053,0.136535,0.139223,0.141567,0.136417,0.137143,0.134405,0.135358,0.134178,0.133639,0.133985,0.131259,0.125961,0.126287,0.115837,0.116679,0.117495,0.118582,0.125589,0.132294
0.101339,0.322451,0.405751,0.450681,0.475109,0.474790,0.462143,0.468059,0.420498,0.403959,0.403786,0.392415,0.362034,0.336833,0.314101,0.250559,0.205744,0.206866,0.209520,0.212452,0.205027,0.205893,0.202688,0.202682,0.200783,0.199075,0.200148,0.195769,0.188568,0.187810,0.172973,0.175275,0.176428,0.178458,0.189856,0.200346
0.111085,0.361807,0.469570,0.537769,0.564301,0.562656,0.548840,0.555950,0.501845,0.480031,0.478416,0.464165,0.426203,0.397621,0.369896,0.291137,0.236267,0.237901,0.246455,0.250884,0.241212,0.244795,0.240960,0.241028,0.239175,0.237207,0.238359,0.232984,0.225925,0.225197,0.208782,0.212287,0.215477,0.218901,0.235622,0.249899
0.114142,0.378072,0.495650,0.555375,0.587266,0.587356,0.570923,0.579445,0.518530,0.497370,0.497120,0.484444,0.445998,0.417462,0.388997,0.307754,0.250345,0.252586,0.261915,0.266881,0.257209,0.261544,0.257906,0.257917,0.255911,0.253861,0.255172,0.249413,0.241986,0.241243,0.223633,0.227279,0.230608,0.234047,0.251618,0.267102
0.121047,0.410986,0.543604,0.596487,0.640900,0.646886,0.629307,0.638535,0.565873,0.549226,0.550799,0.540986,0.502244,0.472862,0.443144,0.357253,0.296960,0.299412,0.309338,0.314865,0.303693,0.308652,0.304132,0.303270,0.301016,0.298496,0.300003,0.293601,0.284865,0.283440,0.263322,0.267403,0.270599,0.274108,0.292732,0.308677
0.119119,0.422703,0.569248,0.609051,0.663716,0.678781,0.654716,0.668601,0.583201,0.570131,0.572547,0.566481,0.526118,0.499189,0.471330,0.378685,0.311653,0.312841,0.320502,0.324605,0.312883,0.317325,0.311788,0.310816,0.308051,0.305284,0.307003,0.300375,0.291223,0.289686,0.269269,0.272892,0.275623,0.278587,0.296360,0.310840
0.119626,0.422051,0.578607,0.665952,0.719509,0.728754,0.713552,0.724291,0.654776,0.636156,0.635558,0.623286,0.574153,0.541663,0.509214,0.403950,0.327861,0.327260,0.333211,0.336508,0.323998,0.327948,0.322027,0.320533,0.317388,0.314287,0.316467,0.309419,0.299592,0.297611,0.276542,0.280362,0.282430,0.285315,0.302994,0.317638
