0.835520,0.775268,0.695847,0.563969,0.552846,0.475164,0.457392,0.426832,0.437265,0.417933,0.406488,0.400987,0.373589,0.338745,0.307946,0.312283
0.878731,0.804297,0.723338,0.571376,0.559843,0.464396,0.443835,0.407902,0.420922,0.400503,0.385293,0.377729,0.348560,0.314258,0.283569,0.287367
0.883419,0.818344,0.747971,0.585677,0.573148,0.473722,0.452650,0.410750,0.423965,0.403064,0.386287,0.380557,0.353803,0.320964,0.290704,0.293489
0.854443,0.828702,0.781030,0.630250,0.617763,0.519280,0.497540,0.452474,0.462878,0.443251,0.423933,0.414118,0.382177,0.349282,0.316119,0.319338
0.843278,0.842536,0.817036,0.676710,0.664448,0.570206,0.547301,0.499238,0.506732,0.489459,0.470288,0.461623,0.427762,0.393819,0.359191,0.363498
0.826775,0.836947,0.832716,0.702175,0.688434,0.592743,0.570146,0.520329,0.528728,0.510853,0.490461,0.480979,0.448785,0.417067,0.385112,0.388818
0.797086,0.836144,0.852267,0.739452,0.727514,0.635299,0.611778,0.555939,0.563894,0.544927,0.524795,0.516169,0.482978,0.448049,0.414169,0.418158
0.713535,0.774107,0.821308,0.773611,0.763176,0.683548,0.659798,0.607156,0.623429,0.594880,0.586400,0.583981,0.552799,0.509651,0.472253,0.474769
0.735832,0.792594,0.835084,0.778433,0.768766,0.684254,0.660204,0.608845,0.624009,0.598241,0.590078,0.588012,0.555433,0.512983,0.474249,0.476551
0.698500,0.772911,0.819517,0.775820,0.767717,0.689411,0.665184,0.612627,0.623878,0.601095,0.592127,0.588835,0.552333,0.512148,0.472958,0.476756
0.697182,0.767404,0.808837,0.764634,0.756766,0.676940,0.654100,0.601610,0.613288,0.589474,0.579991,0.576496,0.540172,0.498776,0.459885,0.463317
0.708753,0.781542,0.817872,0.772142,0.765040,0.684497,0.661505,0.608177,0.616264,0.595845,0.583820,0.578101,0.539740,0.498038,0.458093,0.462068
0.711449,0.795054,0.838059,0.812619,0.806238,0.734148,0.712052,0.659213,0.667292,0.646873,0.632238,0.622527,0.580422,0.535574,0.492590,0.494904
0.626945,0.746010,0.807909,0.835289,0.836666,0.799033,0.785924,0.739064,0.737966,0.724026,0.714581,0.707220,0.660611,0.609048,0.554484,0.555435
0.613211,0.731483,0.796499,0.833518,0.836890,0.803479,0.793297,0.750907,0.748993,0.734983,0.723756,0.711919,0.662834,0.610250,0.554750,0.555590
0.582868,0.697018,0.771307,0.825787,0.829181,0.809629,0.810222,0.770295,0.771950,0.754415,0.746987,0.739403,0.688996,0.628988,0.570000,0.567944
0.584527,0.687832,0.762701,0.816021,0.818253,0.800394,0.803127,0.767008,0.769440,0.752428,0.745371,0.739128,0.690198,0.629913,0.570553,0.568691
0.587528,0.682828,0.759852,0.801613,0.802102,0.781867,0.784417,0.748335,0.750964,0.734290,0.726462,0.720769,0.672542,0.615778,0.558510,0.559126
0.573923,0.667108,0.746608,0.788303,0.790782,0.773044,0.777274,0.747001,0.750949,0.736490,0.728867,0.720774,0.671094,0.616040,0.558692,0.560258
0.555798,0.644178,0.718940,0.752654,0.754072,0.737144,0.742799,0.712361,0.715331,0.701322,0.692037,0.684710,0.636522,0.583905,0.528348,0.531874
