0.533852,0.394116,0.362558,0.344751,0.364247,0.381872,0.393160,0.426258,0.452291,0.464088,0.467407,0.464655,0.441061,0.426851,0.406142,0.370404,0.339089,0.302310,0.306263,0.297946,0.298937,0.295746,0.294889,0.292598,0.295332,0.291738,0.289592,0.286928,0.278645,0.274341,0.269351,0.264315,0.266065,0.261654,0.262389,0.260624,0.259620,0.258828,0.257620,0.151847
0.675066,0.374272,0.317208,0.295492,0.325534,0.352954,0.370954,0.423789,0.470256,0.500331,0.524774,0.536493,0.528285,0.513067,0.492431,0.450725,0.415035,0.370479,0.375441,0.363427,0.362925,0.356107,0.352189,0.347557,0.348432,0.339138,0.336098,0.331087,0.318464,0.313222,0.307431,0.301113,0.303012,0.297367,0.296854,0.294220,0.292253,0.290501,0.288377,0.170798
0.684116,0.391868,0.333365,0.313854,0.346893,0.377502,0.398445,0.452628,0.502272,0.535194,0.566816,0.583169,0.575756,0.559946,0.531050,0.470674,0.425470,0.375496,0.369831,0.353064,0.351806,0.347269,0.343124,0.336078,0.334511,0.326904,0.320735,0.314895,0.301973,0.296388,0.291122,0.285909,0.286959,0.280443,0.279512,0.277144,0.275259,0.273863,0.275575,0.180264
0.670323,0.366798,0.308055,0.288792,0.324828,0.358647,0.382044,0.446999,0.505149,0.543567,0.581409,0.606474,0.609872,0.596411,0.569606,0.509229,0.461748,0.410116,0.411820,0.395924,0.394136,0.395600,0.389297,0.381789,0.379967,0.370260,0.362395,0.355733,0.341781,0.335670,0.329564,0.324505,0.325914,0.318514,0.317667,0.315051,0.312551,0.311109,0.312964,0.202541
0.591438,0.328235,0.276555,0.259295,0.295662,0.330792,0.355325,0.428128,0.488035,0.530805,0.573693,0.604458,0.618420,0.609848,0.589751,0.533893,0.484190,0.434194,0.440651,0.426758,0.423891,0.423595,0.417224,0.409558,0.407752,0.398254,0.388417,0.382017,0.367133,0.360205,0.354002,0.348216,0.350187,0.342520,0.342119,0.340149,0.338033,0.336871,0.339653,0.217708
0.552231,0.304706,0.256429,0.240512,0.279005,0.317405,0.344212,0.429222,0.497514,0.549870,0.599390,0.638348,0.662883,0.658251,0.644064,0.593147,0.541048,0.490407,0.509519,0.501181,0.501462,0.517381,0.513076,0.507182,0.508168,0.500327,0.491291,0.485529,0.470459,0.463814,0.457603,0.452695,0.454886,0.445862,0.445501,0.443476,0.440877,0.439400,0.442053,0.277200
0.556721,0.305929,0.256808,0.240475,0.279868,0.320001,0.347688,0.437273,0.510480,0.566124,0.619534,0.662456,0.691079,0.688233,0.675673,0.624455,0.572862,0.521196,0.543489,0.535316,0.535410,0.559899,0.553506,0.547813,0.548837,0.539183,0.529049,0.522096,0.506399,0.499523,0.492938,0.488813,0.490977,0.481634,0.480939,0.478669,0.475061,0.473154,0.474935,0.295808
0.499785,0.268644,0.225495,0.212473,0.250436,0.289767,0.317082,0.409873,0.485058,0.546555,0.607112,0.656527,0.694935,0.699324,0.697647,0.654110,0.605785,0.557703,0.584339,0.581876,0.583037,0.618641,0.613088,0.609397,0.611729,0.603484,0.594316,0.587342,0.572367,0.565769,0.559292,0.555383,0.557486,0.547918,0.546863,0.545466,0.541678,0.539207,0.539940,0.337934
0.449099,0.243088,0.202057,0.191816,0.225415,0.262284,0.287955,0.377715,0.450372,0.514693,0.578571,0.627361,0.674953,0.682464,0.686994,0.646055,0.600257,0.554662,0.583492,0.584218,0.586852,0.645381,0.635258,0.634783,0.637354,0.629625,0.621526,0.613540,0.599853,0.594311,0.588996,0.588750,0.591138,0.580723,0.578629,0.577613,0.573019,0.570224,0.570647,0.366076
0.418242,0.224124,0.186436,0.176486,0.209547,0.245957,0.270925,0.362430,0.435087,0.502335,0.568242,0.619343,0.670929,0.680348,0.694495,0.661236,0.617568,0.575189,0.608521,0.612831,0.618828,0.675090,0.668603,0.668899,0.672710,0.666935,0.660190,0.653319,0.640038,0.634441,0.628796,0.627200,0.629420,0.619474,0.617378,0.617176,0.613425,0.610409,0.610536,0.386617
